# Mimaki 3DUJ-safe color manifest
# ICC profile     : C:\Windows\System32\spool\drivers\color\CoatedFOGRA39.icc
# deltaE threshold: 0.75
# Safe chromatic  : 188
# K-ramp added    : 7
# Total swatches  : 195
# Sorted by hue.
# Columns: NAME | #HEX | RGB | CMYK% | dE
#--------------------------------------------------------------------------------------------
soft-fair-lime             | #B1CD74 | RGB(177,205,116) | CMYK( 38,  3, 68,  0)% | dE=0.39
mid-dusty-lime             | #646C52 | RGB(100,108, 82) | CMYK( 59, 41, 69, 33)% | dE=0.00
mid-fair-lime-02           | #738F3B | RGB(115,143, 59) | CMYK( 61, 27, 97, 10)% | dE=0.54
soft-vivid-lime            | #88B139 | RGB(136,177, 57) | CMYK( 56, 10, 98,  0)% | dE=0.33
mid-gray-lime-03           | #81896E | RGB(129,137,110) | CMYK( 51, 33, 58, 18)% | dE=0.74
deep-gray-lime             | #42523B | RGB( 66, 82, 59) | CMYK( 72, 47, 80, 49)% | dE=0.66
mid-dusty-lime-02          | #4F7243 | RGB( 79,114, 67) | CMYK( 72, 35, 87, 24)% | dE=0.37
mid-gray-lime-02           | #5D6E56 | RGB( 93,110, 86) | CMYK( 64, 40, 67, 30)% | dE=0.37
mid-fair-lime              | #5B9349 | RGB( 91,147, 73) | CMYK( 71, 22, 91,  5)% | dE=0.00
mid-dusty-lime-03          | #6B8F5E | RGB(107,143, 94) | CMYK( 63, 27, 74, 10)% | dE=0.52
mid-gray-lime              | #798B72 | RGB(121,139,114) | CMYK( 56, 32, 58, 16)% | dE=0.00
soft-fair-lime-02          | #79B265 | RGB(121,178,101) | CMYK( 60,  8, 76,  0)% | dE=0.53
soft-dusty-lime-03         | #89AE7B | RGB(137,174,123) | CMYK( 53, 16, 63,  2)% | dE=0.52
soft-gray-lime             | #97A98F | RGB(151,169,143) | CMYK( 46, 23, 48,  5)% | dE=0.00
soft-dusty-lime-04         | #A7CD98 | RGB(167,205,152) | CMYK( 41,  2, 52,  0)% | dE=0.59
soft-gray-lime-02          | #B6C8AD | RGB(182,200,173) | CMYK( 34, 12, 38,  1)% | dE=0.00
mid-fair-green-04          | #009B4C | RGB(  0,155, 76) | CMYK( 84,  9, 94,  1)% | dE=0.63
deep-dusty-green           | #215833 | RGB( 33, 88, 51) | CMYK( 90, 40, 97, 41)% | dE=0.57
soft-dusty-green-03        | #78B086 | RGB(120,176,134) | CMYK( 59, 12, 58,  0)% | dE=0.50
mid-fair-green-03          | #167840 | RGB( 22,120, 64) | CMYK( 89, 27, 97, 16)% | dE=0.54
mid-fair-green-02          | #3C965B | RGB( 60,150, 91) | CMYK( 78, 17, 81,  3)% | dE=0.39
soft-fair-green            | #5CB577 | RGB( 92,181,119) | CMYK( 66,  1, 69,  0)% | dE=0.47
mid-dusty-green-03         | #3E744E | RGB( 62,116, 78) | CMYK( 79, 33, 80, 22)% | dE=0.57
mid-fair-green             | #00986F | RGB(  0,152,111) | CMYK( 84, 14, 71,  1)% | dE=0.36
deep-dusty-green-02        | #345446 | RGB( 52, 84, 70) | CMYK( 80, 44, 70, 47)% | dE=0.74
mid-dusty-green            | #29755A | RGB( 41,117, 90) | CMYK( 85, 31, 72, 20)% | dE=0.00
mid-dusty-green-02         | #4F7062 | RGB( 79,112, 98) | CMYK( 71, 37, 60, 27)% | dE=0.37
mid-dusty-green-04         | #499376 | RGB( 73,147,118) | CMYK( 74, 22, 62,  5)% | dE=0.62
mid-dusty-green-05         | #6B8D7E | RGB(107,141,126) | CMYK( 62, 29, 51, 13)% | dE=0.74
soft-dusty-green           | #67B294 | RGB(103,178,148) | CMYK( 63,  8, 52,  0)% | dE=0.00
soft-dusty-green-02        | #88AB9C | RGB(136,171,156) | CMYK( 52, 20, 42,  4)% | dE=0.00
deep-dusty-jade            | #123A33 | RGB( 18, 58, 51) | CMYK( 98, 49, 73, 68)% | dE=0.00
deep-dusty-jade-02         | #2E544D | RGB( 46, 84, 77) | CMYK( 83, 43, 63, 47)% | dE=0.31
mid-dusty-jade-02          | #497068 | RGB( 73,112,104) | CMYK( 73, 37, 55, 27)% | dE=0.37
mid-dusty-jade             | #658D85 | RGB(101,141,133) | CMYK( 64, 29, 47, 12)% | dE=0.00
soft-dusty-jade            | #57B3A2 | RGB( 87,179,162) | CMYK( 67,  6, 44,  0)% | dE=0.00
soft-dusty-jade-02         | #A1CBC2 | RGB(161,203,194) | CMYK( 42,  7, 28,  0)% | dE=0.71
deep-dusty-teal            | #295453 | RGB( 41, 84, 83) | CMYK( 85, 43, 56, 46)% | dE=0.00
soft-dusty-teal-02         | #7FACAA | RGB(127,172,170) | CMYK( 55, 19, 35,  3)% | dE=0.00
mid-dusty-teal-02          | #628D8C | RGB( 98,141,140) | CMYK( 65, 30, 42, 12)% | dE=0.37
